Name,Points,Unnamed: 1_level_0Age,GamesG,GamesGS,RushingRush,RushingYds,RushingTD,Rushing1D,RushingLng,RushingY/A,RushingY/G,RushingA/G,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,Receiving1D,ReceivingLng,ReceivingR/G,ReceivingY/G,ReceivingCtch%,ReceivingY/Tgt,Total YdsTouch,Total YdsY/Tch,Total YdsYScm,Unnamed: 29_level_0RRTD,Unnamed: 30_level_0Fmb
Chris Godwin,542.3,22,16,5,0,0,0,0,0,0,0,0,95,59,842,14.3,7,48,48,3.7,52.6,0.621,8.9,59,14.3,842,7,4
Chris Godwin,357,23,14,14,1,8,0,0,8,8,0.6,0.1,121,86,1333,15.5,9,63,71,6.1,95.2,0.711,11,87,15.4,1341,9,0
Chris Godwin,467.2,24,12,12,0,0,0,0,0,0,0,0,84,65,840,12.9,7,43,47,5.4,70,0.774,10,65,12.9,840,7,1
Chris Godwin,426.4,25,14,14,4,21,1,4,9,5.3,1.5,0.3,127,98,1103,11.3,5,55,44,7,78.8,0.772,8.7,102,11,1124,6,2
Jerry Jeudy,177,21,16,14,0,0,0,0,0,0,0,0,113,52,856,16.5,3,39,92,3.3,53.5,0.46,7.6,52,16.5,856,3,2
Jerry Jeudy,406.6,22,10,5,2,3,0,0,3,1.5,0.3,0.2,56,38,467,12.3,0,22,40,3.8,46.7,0.679,8.3,40,11.8,470,0,1
Jonathan Taylor,803.3,21,15,13,232,1169,11,69,62,5,77.9,15.5,39,36,299,8.3,1,12,39,2.4,19.9,0.923,7.7,268,5.5,1468,12,1
Jonathan Taylor,347.2,22,17,17,332,1811,18,107,83,5.5,106.5,19.5,51,40,360,9,2,12,76,2.4,21.2,0.784,7.1,372,5.8,2171,20,4
AJ Dillon,406.8,22,11,0,46,242,2,11,30,5.3,22,4.2,2,2,21,10.5,0,1,16,0.2,1.9,1,10.5,48,5.5,263,2,0
AJ Dillon,360.8,23,17,2,187,803,5,50,36,4.3,47.2,11,37,34,313,9.2,2,15,50,2,18.4,0.919,8.5,221,5,1116,7,2
Ezekiel Elliott,453.6,21,15,15,322,1631,15,95,60,5.1,108.7,21.5,39,32,363,11.3,1,11,83,2.1,24.2,0.821,9.3,354,5.6,1994,16,5
Ezekiel Elliott,719.3,22,10,10,242,983,7,57,30,4.1,98.3,24.2,38,26,269,10.3,2,6,72,2.6,26.9,0.684,7.1,268,4.7,1252,9,1
Ezekiel Elliott,665.1,23,15,15,304,1434,6,74,41,4.7,95.6,20.3,95,77,567,7.4,3,22,38,5.1,37.8,0.811,6,381,5.3,2001,9,6
Ezekiel Elliott,483.1,24,16,16,301,1357,12,78,33,4.5,84.8,18.8,71,54,420,7.8,2,21,27,3.4,26.3,0.761,5.9,355,5,1777,14,3
Ezekiel Elliott,503.7,25,15,15,244,979,6,62,31,4,65.3,16.3,71,52,338,6.5,2,20,19,3.5,22.5,0.732,4.8,296,4.4,1317,8,6
Ezekiel Elliott,379.4,26,17,17,237,1002,10,55,47,4.2,58.9,13.9,65,47,287,6.1,2,17,21,2.8,16.9,0.723,4.4,284,4.5,1289,12,1
Michael Pittman Jr.,459.8,23,13,8,3,26,0,1,21,8.7,2,0.2,61,40,503,12.6,1,22,45,3.1,38.7,0.656,8.2,43,12.3,529,1,0
Michael Pittman Jr.,405.5,24,17,17,5,44,0,1,25,8.8,2.6,0.3,129,88,1082,12.3,6,54,57,5.2,63.6,0.682,8.4,93,12.1,1126,6,1
D.J. Moore,471.5,21,16,10,13,172,0,6,32,13.2,10.8,0.8,82,55,788,14.3,2,33,82,3.4,49.3,0.671,9.6,68,14.1,960,2,4
D.J. Moore,454.5,22,15,15,6,40,0,3,13,6.7,2.7,0.4,135,87,1175,13.5,4,63,52,5.8,78.3,0.644,8.7,93,13.1,1215,4,2
D.J. Moore,476.5,23,15,14,2,22,0,1,21,11,1.5,0.1,118,66,1193,18.1,4,53,74,4.4,79.5,0.559,10.1,68,17.9,1215,4,0
D.J. Moore,387.3,24,17,17,8,48,0,4,14,6,2.8,0.5,163,93,1157,12.4,4,60,64,5.5,68.1,0.571,7.1,101,11.9,1205,4,1
D'Onta Foreman,14.1,21,10,1,78,327,2,13,39,4.2,32.7,7.8,8,6,83,13.8,0,4,34,0.6,8.3,0.75,10.4,84,4.9,410,2,2
D'Onta Foreman,37,22,1,0,7,-1,0,0,2,-0.1,-1,7,2,2,28,14,1,1,20,2,28,1,14,9,3,27,1,1
D'Onta Foreman,229.7,24,6,0,22,95,0,6,15,4.3,15.8,3.7,1,1,5,5,1,1,5,0.2,0.8,1,5,23,4.3,100,1,0
D'Onta Foreman,315,25,9,3,133,566,3,22,35,4.3,62.9,14.8,11,9,123,13.7,0,6,39,1,13.7,0.818,11.2,142,4.9,689,3,2
JuJu Smith-Schuster,582.7,21,14,7,0,0,0,0,0,0,0,0,79,58,917,15.8,7,37,97,4.1,65.5,0.734,11.6,58,15.8,917,7,0
JuJu Smith-Schuster,223.6,22,16,13,1,13,0,1,13,13,0.8,0.1,166,111,1426,12.8,7,67,97,6.9,89.1,0.669,8.6,112,12.8,1439,7,1
JuJu Smith-Schuster,394.3,23,12,12,0,0,0,0,0,0,0,0,70,42,552,13.1,3,23,76,3.5,46,0.6,7.9,42,13.1,552,3,1
JuJu Smith-Schuster,62.4,24,16,14,0,0,0,0,0,0,0,0,128,97,831,8.6,9,48,31,6.1,51.9,0.758,6.5,97,8.6,831,9,3
JuJu Smith-Schuster,369.9,25,5,5,3,9,1,1,3,3,1.8,0.6,28,15,129,8.6,0,6,24,3,25.8,0.536,4.6,18,7.7,138,1,0
D'Andre Swift,420.7,21,13,4,114,521,8,31,54,4.6,40.1,8.8,57,46,357,7.8,2,15,26,3.5,27.5,0.807,6.3,160,5.5,878,10,3
D'Andre Swift,373.3,22,13,4,151,617,5,28,57,4.1,47.5,11.6,78,62,452,7.3,2,18,63,4.8,34.8,0.795,5.8,213,5,1069,7,2
T.J. Hockenson,317.9,22,12,7,0,0,0,0,0,0,0,0,59,32,367,11.5,2,19,39,2.7,30.6,0.542,6.2,32,11.5,367,2,0
T.J. Hockenson,259.9,23,16,16,1,0,0,0,0,0,0,0.1,101,67,723,10.8,6,40,51,4.2,45.2,0.663,7.2,68,10.6,723,6,1
T.J. Hockenson,394.2,24,12,12,0,0,0,0,0,0,0,0,84,61,583,9.6,4,32,33,5.1,48.6,0.726,6.9,61,9.6,583,4,0
Diontae Johnson,407.4,23,16,12,4,41,0,2,17,10.3,2.6,0.3,92,59,680,11.5,5,31,45,3.7,42.5,0.641,7.4,63,11.4,721,5,5
Diontae Johnson,515.2,24,15,13,3,15,0,0,9,5,1,0.2,144,88,923,10.5,7,45,47,5.9,61.5,0.611,6.4,91,10.3,938,7,2
Diontae Johnson,356.1,25,16,14,5,53,0,2,25,10.6,3.3,0.3,169,107,1161,10.9,8,59,50,6.7,72.6,0.633,6.9,112,10.8,1214,8,2
Cam Akers,6.9,21,13,5,145,625,2,26,61,4.3,48.1,11.2,14,11,123,11.2,1,4,38,0.8,9.5,0.786,8.8,156,4.8,748,3,1
Cam Akers,321.9,22,1,0,5,3,0,0,2,0.6,3,5,3,3,10,3.3,0,0,6,3,10,1,3.3,8,1.6,13,0,0
Antonio Gibson,489.3,22,14,10,170,795,11,40,40,4.7,56.8,12.1,44,36,247,6.9,0,8,40,2.6,17.6,0.818,5.6,206,5.1,1042,11,1
Antonio Gibson,343.7,23,16,14,258,1037,7,65,27,4,64.8,16.1,52,42,294,7,3,12,73,2.6,18.4,0.808,5.7,300,4.4,1331,10,6
Mike Williams,316.6,23,10,1,0,0,0,0,0,0,0,0,23,11,95,8.6,0,7,20,1.1,9.5,0.478,4.1,11,8.6,95,0,0
Mike Williams,361.9,24,16,5,7,28,1,2,19,4,1.8,0.4,66,43,664,15.4,10,36,55,2.7,41.5,0.652,10.1,50,13.8,692,11,0
Mike Williams,305.1,25,15,15,1,2,0,0,2,2,0.1,0.1,90,49,1001,20.4,2,41,56,3.3,66.7,0.544,11.1,50,20.1,1003,2,0
Mike Williams,473.8,26,15,11,1,1,0,0,1,1,0.1,0.1,85,48,756,15.8,5,35,64,3.2,50.4,0.565,8.9,49,15.4,757,5,0
Mike Williams,355.5,27,16,14,0,0,0,0,0,0,0,0,129,76,1146,15.1,9,51,72,4.8,71.6,0.589,8.9,76,15.1,1146,9,0
Latavius Murray,458.4,24,15,3,82,424,2,18,90,5.2,28.3,5.5,23,17,143,8.4,0,3,46,1.1,9.5,0.739,6.2,99,5.7,567,2,1
Latavius Murray,416.6,25,16,16,266,1066,6,49,54,4,66.6,16.6,53,41,232,5.7,0,9,23,2.6,14.5,0.774,4.4,307,4.2,1298,6,4
Latavius Murray,344.5,26,14,12,195,788,12,52,42,4,56.3,13.9,43,33,264,8,0,11,39,2.4,18.9,0.767,6.1,228,4.6,1052,12,2
Latavius Murray,273.7,27,16,11,216,842,8,43,46,3.9,52.6,13.5,17,15,103,6.9,0,4,28,0.9,6.4,0.882,6.1,231,4.1,945,8,1
Latavius Murray,331.6,28,16,6,140,578,6,23,38,4.1,36.1,8.8,26,22,141,6.4,0,7,16,1.4,8.8,0.846,5.4,162,4.4,719,6,0
Latavius Murray,300.6,29,16,8,146,637,5,38,30,4.4,39.8,9.1,43,34,235,6.9,1,9,30,2.1,14.7,0.791,5.5,180,4.8,872,6,0
Latavius Murray,218.8,30,15,7,146,656,4,36,36,4.5,43.7,9.7,26,23,176,7.7,1,8,25,1.5,11.7,0.885,6.8,169,4.9,832,5,1
Latavius Murray,328.6,31,14,6,119,501,6,36,46,4.2,35.8,8.5,13,10,75,7.5,0,2,18,0.7,5.4,0.769,5.8,129,4.5,576,6,0
Cooper Kupp,253.3,24,15,6,0,0,0,0,0,0,0,0,94,62,869,14,5,42,64,4.1,57.9,0.66,9.2,62,14,869,5,1
Cooper Kupp,497.5,25,8,8,4,25,0,3,12,6.3,3.1,0.5,55,40,566,14.2,6,25,70,5,70.8,0.727,10.3,44,13.4,591,6,0
Cooper Kupp,410.1,26,16,14,2,4,0,0,6,2,0.3,0.1,134,94,1161,12.4,10,51,66,5.9,72.6,0.701,8.7,96,12.1,1165,10,3
Cooper Kupp,830.5,27,15,12,4,33,0,3,16,8.3,2.2,0.3,124,92,974,10.6,3,45,55,6.1,64.9,0.742,7.9,96,10.5,1007,3,1
Cooper Kupp,372.2,28,17,17,4,18,0,1,18,4.5,1.1,0.2,191,145,1947,13.4,16,89,59,8.5,114.5,0.759,10.2,149,13.2,1965,16,0
Deebo Samuel,164.1,23,15,11,14,159,3,5,31,11.4,10.6,0.9,81,57,802,14.1,3,32,42,3.8,53.5,0.704,9.9,71,13.5,961,6,2
Deebo Samuel,684,24,7,5,8,26,0,1,10,3.3,3.7,1.1,44,33,391,11.8,1,19,35,4.7,55.9,0.75,8.9,41,10.2,417,1,0
Deebo Samuel,339.2,25,16,15,59,365,8,21,49,6.2,22.8,3.7,121,77,1405,18.2,6,51,83,4.8,87.8,0.636,11.6,136,13,1770,14,4
Mark Andrews,375.6,23,16,3,0,0,0,0,0,0,0,0,50,34,552,16.2,3,28,74,2.1,34.5,0.68,11,34,16.2,552,3,0
Mark Andrews,306.3,24,15,4,0,0,0,0,0,0,0,0,98,64,852,13.3,10,44,51,4.3,56.8,0.653,8.7,64,13.3,852,10,2
Mark Andrews,567.3,25,14,2,0,0,0,0,0,0,0,0,88,58,701,12.1,7,37,39,4.1,50.1,0.659,8,58,12.1,701,7,2
Mark Andrews,357.5,26,17,9,1,0,0,0,0,0,0,0.1,153,107,1361,12.7,9,75,43,6.3,80.1,0.699,8.9,108,12.6,1361,9,1
Curtis Samuel,252.4,21,9,4,4,64,0,3,31,16,7.1,0.4,26,15,115,7.7,0,6,23,1.7,12.8,0.577,4.4,19,9.4,179,0,0
Curtis Samuel,323.1,22,13,8,8,84,2,3,33,10.5,6.5,0.6,65,39,494,12.7,5,24,53,3,38,0.6,7.6,47,12.3,578,7,1
Curtis Samuel,420.3,23,16,15,19,130,1,7,16,6.8,8.1,1.2,105,54,627,11.6,6,36,44,3.4,39.2,0.514,6,73,10.4,757,7,0
Curtis Samuel,17.4,24,15,5,41,200,2,10,45,4.9,13.3,2.7,97,77,851,11.1,3,39,44,5.1,56.7,0.794,8.8,118,8.9,1051,5,1
Curtis Samuel,344.9,25,5,1,4,11,0,0,8,2.8,2.2,0.8,9,6,27,4.5,0,4,10,1.2,5.4,0.667,3,10,3.8,38,0,0
Zay Jones,291.6,22,15,10,0,0,0,0,0,0,0,0,74,27,316,11.7,2,19,33,1.8,21.1,0.365,4.3,27,11.7,316,2,0
Zay Jones,92.7,23,16,15,1,0,0,0,0,0,0,0.1,102,56,652,11.6,7,33,57,3.5,40.8,0.549,6.4,57,11.4,652,7,1
Zay Jones,27.7,24,15,9,1,3,0,0,3,3,0.2,0.1,45,27,216,8,0,10,23,1.8,14.4,0.6,4.8,28,7.8,219,0,0
Zay Jones,65,0,5,2,0,0,0,0,0,0,0,0,18,7,69,9.9,0,4,23,1.4,13.8,0.389,3.8,7,9.9,69,0,0
Zay Jones,66.2,0,10,7,1,3,0,0,3,3,0.3,0.1,27,20,147,7.4,0,6,16,2,14.7,0.741,5.4,21,7.1,150,0,0
Zay Jones,215.7,25,16,2,0,0,0,0,0,0,0,0,20,14,154,11,1,6,37,0.9,9.6,0.7,7.7,14,11,154,1,0
Zay Jones,364.3,26,17,9,2,3,0,0,4,1.5,0.2,0.1,70,47,546,11.6,1,29,43,2.8,32.1,0.671,7.8,49,11.2,549,1,1
Donovan Peoples-Jones,227.1,21,12,2,0,0,0,0,0,0,0,0,20,14,304,21.7,2,10,75,1.2,25.3,0.7,15.2,14,21.7,304,2,0
Donovan Peoples-Jones,329.3,22,14,9,0,0,0,0,0,0,0,0,58,34,597,17.6,3,26,60,2.4,42.6,0.586,10.3,34,17.6,597,3,2
Gabriel Davis,235.7,21,16,11,1,0,0,0,0,0,0,0.1,62,35,599,17.1,7,27,56,2.2,37.4,0.565,9.7,36,16.6,599,7,1
Gabriel Davis,338.8,22,16,4,0,0,0,0,0,0,0,0,63,35,549,15.7,6,29,49,2.2,34.3,0.556,8.7,35,15.7,549,6,0
Courtland Sutton,442.7,23,16,9,1,-1,0,0,-1,-1,-0.1,0.1,84,42,704,16.8,4,30,42,2.6,44,0.5,8.4,43,16.3,703,4,0
Courtland Sutton,22.8,24,16,14,3,17,0,1,9,5.7,1.1,0.2,124,72,1112,15.4,6,50,70,4.5,69.5,0.581,9,75,15.1,1129,6,2
Courtland Sutton,302.8,25,1,1,0,0,0,0,0,0,0,0,6,3,66,22,0,2,45,3,66,0.5,11,3,22,66,0,0
Courtland Sutton,326.2,26,17,16,0,0,0,0,0,0,0,0,98,58,776,13.4,2,35,55,3.4,45.6,0.592,7.9,58,13.4,776,2,0
Cordarrelle Patterson,193.3,22,16,6,12,158,3,7,50,13.2,9.9,0.8,77,45,469,10.4,4,19,79,2.8,29.3,0.584,6.1,57,11,627,7,0
Cordarrelle Patterson,7.5,23,16,7,10,117,1,4,67,11.7,7.3,0.6,67,33,384,11.6,1,20,28,2.1,24,0.493,5.7,43,11.7,501,2,1
Cordarrelle Patterson,208.8,24,16,1,2,15,0,1,9,7.5,0.9,0.1,2,2,10,5,0,1,9,0.1,0.6,1,5,4,6.3,25,0,1
Cordarrelle Patterson,166,25,16,8,7,43,0,2,22,6.1,2.7,0.4,70,52,453,8.7,2,23,39,3.3,28.3,0.743,6.5,59,8.4,496,2,2
Cordarrelle Patterson,185.5,26,16,2,13,121,2,3,47,9.3,7.6,0.8,42,31,309,10,0,14,59,1.9,19.3,0.738,7.4,44,9.8,430,2,3
Cordarrelle Patterson,66.8,27,15,5,42,228,1,15,27,5.4,15.2,2.8,28,21,247,11.8,3,11,55,1.4,16.5,0.75,8.8,63,7.5,475,4,1
Cordarrelle Patterson,136.2,28,16,4,17,103,0,4,46,6.1,6.4,1.1,17,11,83,7.5,0,3,33,0.7,5.2,0.647,4.9,28,6.6,186,0,0
Cordarrelle Patterson,463.8,29,16,3,64,232,1,12,13,3.6,14.5,4,25,21,132,6.3,0,7,25,1.3,8.3,0.84,5.3,85,4.3,364,1,0
Cordarrelle Patterson,312.1,30,16,13,153,618,6,29,39,4,38.6,9.6,69,52,548,10.5,5,26,64,3.3,34.3,0.754,7.9,205,5.7,1166,11,2
Jerick McKinnon,172.2,22,11,6,113,538,0,24,55,4.8,48.9,10.3,41,27,135,5,0,7,17,2.5,12.3,0.659,3.3,140,4.8,673,0,0
Jerick McKinnon,305.2,23,16,0,52,271,2,13,68,5.2,16.9,3.3,29,21,173,8.2,1,9,30,1.3,10.8,0.724,6,73,6.1,444,3,0
Jerick McKinnon,372.3,24,15,7,159,539,2,21,36,3.4,35.9,10.6,53,43,255,5.9,2,17,41,2.9,17,0.811,4.8,202,3.9,794,4,0
Jerick McKinnon,240.6,25,16,1,150,570,3,24,58,3.8,35.6,9.4,68,51,421,8.3,2,20,41,3.2,26.3,0.75,6.2,201,4.9,991,5,3
Jerick McKinnon,69.7,28,16,4,81,319,5,16,55,3.9,19.9,5.1,46,33,253,7.7,1,12,26,2.1,15.8,0.717,5.5,114,5,572,6,0
Jerick McKinnon,354.9,29,13,0,12,62,0,2,18,5.2,4.8,0.9,20,13,107,8.2,1,6,14,1,8.2,0.65,5.4,25,6.8,169,1,0
Jakobi Meyers,278.4,23,15,1,0,0,0,0,0,0,0,0,41,26,359,13.8,0,17,35,1.7,23.9,0.634,8.8,26,13.8,359,0,0
Jakobi Meyers,355.5,24,14,9,2,9,0,0,7,4.5,0.6,0.1,81,59,729,12.4,0,37,35,4.2,52.1,0.728,9,61,12.1,738,0,1
Jakobi Meyers,336.9,25,17,16,1,9,0,0,9,9,0.5,0.1,126,83,866,10.4,2,42,39,4.9,50.9,0.659,6.9,84,10.4,875,2,1
Allen Lazard,202.4,23,1,0,0,0,0,0,0,0,0,0,1,1,7,7,0,0,7,1,7,1,7,1,7,7,0,0
Allen Lazard,191.4,24,16,3,1,21,0,1,21,21,1.3,0.1,52,35,477,13.6,3,24,43,2.2,29.8,0.673,9.2,36,13.8,498,3,0
Allen Lazard,251.5,25,10,9,2,17,0,1,19,8.5,1.7,0.2,46,33,451,13.7,3,23,72,3.3,45.1,0.717,9.8,35,13.4,468,3,0
Allen Lazard,332.4,26,15,13,3,32,0,2,14,10.7,2.1,0.2,60,40,513,12.8,8,28,42,2.7,34.2,0.667,8.6,43,12.7,545,8,0
Evan Engram,246.9,23,15,11,1,14,0,1,14,14,0.9,0.1,115,64,722,11.3,6,37,35,4.3,48.1,0.557,6.3,65,11.3,736,6,0
Evan Engram,204.2,24,11,8,3,36,0,3,14,12,3.3,0.3,64,45,577,12.8,3,22,54,4.1,52.5,0.703,9,48,12.8,613,3,0
Evan Engram,277,25,8,6,3,7,0,0,5,2.3,0.9,0.4,68,44,467,10.6,3,23,75,5.5,58.4,0.647,6.9,47,10.1,474,3,0
Evan Engram,183.5,26,16,14,6,26,1,1,9,4.3,1.6,0.4,109,63,654,10.4,1,31,53,3.9,40.9,0.578,6,69,9.9,680,2,1
Evan Engram,330.7,27,15,12,1,-3,0,0,-3,-3,-0.2,0.1,73,46,408,8.9,3,21,30,3.1,27.2,0.63,5.6,47,8.6,405,3,1
George Kittle,534.1,24,15,7,0,0,0,0,0,0,0,0,63,43,515,12,2,24,44,2.9,34.3,0.683,8.2,43,12,515,2,0
George Kittle,435.5,25,16,16,1,10,0,1,10,10,0.6,0.1,136,88,1377,15.6,5,60,85,5.5,86.1,0.647,10.1,89,15.6,1387,5,0
George Kittle,255.3,26,14,14,5,22,0,1,18,4.4,1.6,0.4,107,85,1053,12.4,5,53,61,6.1,75.2,0.794,9.8,90,11.9,1075,5,1
George Kittle,382,27,8,8,2,17,0,1,9,8.5,2.1,0.3,63,48,634,13.2,2,32,44,6,79.3,0.762,10.1,50,13,651,2,0
George Kittle,353.5,28,14,14,3,20,0,0,9,6.7,1.4,0.2,94,71,910,12.8,6,42,48,5.1,65,0.755,9.7,74,12.6,930,6,2
Tyler Boyd,101.5,22,16,2,4,58,0,2,39,14.5,3.6,0.3,81,54,603,11.2,1,33,30,3.4,37.7,0.667,7.4,58,11.4,661,1,1
Tyler Boyd,427.3,23,10,1,0,0,0,0,0,0,0,0,32,22,225,10.2,2,14,49,2.2,22.5,0.688,7,22,10.2,225,2,0
Tyler Boyd,436.7,24,14,14,2,3,0,0,5,1.5,0.2,0.1,108,76,1028,13.5,7,54,49,5.4,73.4,0.704,9.5,78,13.2,1031,7,0
Tyler Boyd,368,25,16,15,4,23,0,1,10,5.8,1.4,0.3,148,90,1046,11.6,5,51,47,5.6,65.4,0.608,7.1,94,11.4,1069,5,2
Tyler Boyd,350,26,15,8,5,49,0,2,25,9.8,3.3,0.3,110,79,841,10.6,4,43,72,5.3,56.1,0.718,7.6,84,10.6,890,4,1
Tyler Boyd,316.6,27,16,10,2,22,0,1,14,11,1.4,0.1,94,67,828,12.4,5,37,68,4.2,51.8,0.713,8.8,69,12.3,850,5,1
Keenan Allen,331.9,21,15,14,0,0,0,0,0,0,0,0,105,71,1046,14.7,8,54,43,4.7,69.7,0.676,10,71,14.7,1046,8,2
Keenan Allen,306.5,22,14,14,0,0,0,0,0,0,0,0,121,77,783,10.2,4,41,35,5.5,55.9,0.636,6.5,77,10.2,783,4,2
Keenan Allen,24.9,23,8,8,0,0,0,0,0,0,0,0,89,67,725,10.8,4,34,38,8.4,90.6,0.753,8.1,67,10.8,725,4,1
Keenan Allen,556.6,24,1,1,0,0,0,0,0,0,0,0,7,6,63,10.5,0,6,15,6,63,0.857,9,6,10.5,63,0,0
Keenan Allen,508.3,25,16,15,2,9,0,0,6,4.5,0.6,0.1,159,102,1393,13.7,6,74,51,6.4,87.1,0.642,8.8,104,13.5,1402,6,1
Keenan Allen,504.5,26,16,14,9,75,0,4,28,8.3,4.7,0.6,136,97,1196,12.3,6,62,54,6.1,74.8,0.713,8.8,106,12,1271,6,3
Keenan Allen,439.3,27,16,16,3,16,0,1,18,5.3,1,0.2,149,104,1199,11.5,6,63,45,6.5,74.9,0.698,8,107,11.4,1215,6,0
Keenan Allen,481.4,28,14,13,1,-1,0,0,-1,-1,-0.1,0.1,147,100,992,9.9,8,61,28,7.1,70.9,0.68,6.7,101,9.8,991,8,3
Keenan Allen,316,29,16,16,0,0,0,0,0,0,0,0,157,106,1138,10.7,6,66,42,6.6,71.1,0.675,7.2,106,10.7,1138,6,1
Mack Hollins,47.5,24,16,0,0,0,0,0,0,0,0,0,22,16,226,14.1,1,8,64,1,14.1,0.727,10.3,16,14.1,226,1,0
Mack Hollins,0,26,16,3,0,0,0,0,0,0,0,0,23,10,125,12.5,0,7,20,0.6,7.8,0.435,5.4,10,12.5,125,0,0
Mack Hollins,47.5,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mack Hollins,72.8,0,12,3,0,0,0,0,0,0,0,0,22,10,125,12.5,0,7,20,0.8,10.4,0.455,5.7,10,12.5,125,0,0
Mack Hollins,104.9,27,16,2,0,0,0,0,0,0,0,0,25,16,176,11,1,7,34,1,11,0.64,7,16,11,176,1,1
Mack Hollins,300,28,17,3,0,0,0,0,0,0,0,0,28,14,223,15.9,4,11,65,0.8,13.1,0.5,8,14,15.9,223,4,0
Darius Slayton,291,22,14,9,0,0,0,0,0,0,0,0,84,48,740,15.4,8,32,55,3.4,52.9,0.571,8.8,48,15.4,740,8,0
Darius Slayton,133.8,23,16,15,2,-1,0,0,2,-0.5,-0.1,0.1,96,50,751,15,3,40,41,3.1,46.9,0.521,7.8,52,14.4,750,3,1
Darius Slayton,271.2,24,13,5,1,-13,0,0,-13,-13,-1,0.1,58,26,339,13,2,14,42,2,26.1,0.448,5.8,27,12.1,326,2,1
Adam Thielen,81.9,24,16,2,0,0,0,0,0,0,0,0,13,8,137,17.1,1,7,44,0.5,8.6,0.615,10.5,8,17.1,137,1,0
Adam Thielen,389.6,25,16,2,4,89,0,4,41,22.3,5.6,0.3,18,12,144,12,0,5,30,0.8,9,0.667,8,16,14.6,233,0,0
Adam Thielen,495.1,26,16,10,2,15,0,1,11,7.5,0.9,0.1,92,69,967,14,5,44,71,4.3,60.4,0.75,10.5,71,13.8,982,5,2
Adam Thielen,585.9,27,16,16,1,11,0,1,11,11,0.7,0.1,142,91,1276,14,4,59,65,5.7,79.8,0.641,9,92,14,1287,4,3
Adam Thielen,199.2,28,16,16,5,30,0,1,15,6,1.9,0.3,153,113,1373,12.2,9,74,68,7.1,85.8,0.739,9,118,11.9,1403,9,1
Adam Thielen,440,29,10,10,4,6,1,1,3,1.5,0.6,0.4,48,30,418,13.9,6,18,44,3,41.8,0.625,8.7,34,12.5,424,7,0
Adam Thielen,343.4,30,15,15,3,15,0,0,8,5,1,0.2,108,74,925,12.5,14,52,51,4.9,61.7,0.685,8.6,77,12.2,940,14,0
Adam Thielen,322,31,13,13,1,2,0,0,2,2,0.2,0.1,95,67,726,10.8,10,37,35,5.2,55.8,0.705,7.6,68,10.7,728,10,1
DeAndre Hopkins,471,21,16,16,0,0,0,0,0,0,0,0,91,52,802,15.4,2,38,66,3.3,50.1,0.571,8.8,52,15.4,802,2,1
DeAndre Hopkins,631.3,22,16,16,0,0,0,0,0,0,0,0,127,76,1210,15.9,6,57,76,4.8,75.6,0.598,9.5,76,15.9,1210,6,2
DeAndre Hopkins,388.2,23,16,16,0,0,0,0,0,0,0,0,192,111,1521,13.7,11,83,61,6.9,95.1,0.578,7.9,111,13.7,1521,11,1
DeAndre Hopkins,585.4,24,16,16,0,0,0,0,0,0,0,0,151,78,954,12.2,4,57,51,4.9,59.6,0.517,6.3,78,12.2,954,4,0
DeAndre Hopkins,646.5,25,15,15,0,0,0,0,0,0,0,0,174,96,1378,14.4,13,69,72,6.4,91.9,0.552,7.9,96,14.4,1378,13,1
DeAndre Hopkins,500.9,26,16,16,1,-7,0,0,-7,-7,-0.4,0.1,163,115,1572,13.7,11,81,49,7.2,98.3,0.706,9.6,116,13.5,1565,11,2
DeAndre Hopkins,567.4,27,15,15,2,18,0,2,12,9,1.2,0.1,150,104,1165,11.2,7,68,43,6.9,77.7,0.693,7.8,106,11.2,1183,7,0
DeAndre Hopkins,261.6,28,16,16,1,1,0,0,1,1,0.1,0.1,160,115,1407,12.2,6,75,60,7.2,87.9,0.719,8.8,116,12.1,1408,6,3
DeAndre Hopkins,293.1,29,10,10,0,0,0,0,0,0,0,0,64,42,572,13.6,8,32,55,4.2,57.2,0.656,8.9,42,13.6,572,8,0
Marquise Brown,337,22,14,11,0,0,0,0,0,0,0,0,71,46,584,12.7,7,24,83,3.3,41.7,0.648,8.2,46,12.7,584,7,0
Marquise Brown,424.9,23,16,14,1,1,0,0,1,1,0.1,0.1,100,58,769,13.3,8,35,70,3.6,48.1,0.58,7.7,59,13.1,770,8,0
Marquise Brown,296,24,16,16,1,5,0,1,5,5,0.3,0.1,146,91,1008,11.1,6,41,49,5.7,63,0.623,6.9,92,11,1013,6,3
Brandin Cooks,482.8,21,10,7,7,73,1,4,28,10.4,7.3,0.7,69,53,550,10.4,3,25,50,5.3,55,0.768,8,60,10.4,623,4,1
Brandin Cooks,484.9,22,16,12,8,18,0,2,11,2.3,1.1,0.5,129,84,1138,13.5,9,45,71,5.3,71.1,0.651,8.8,92,12.6,1156,9,1
Brandin Cooks,443.6,23,16,12,6,30,0,1,11,5,1.9,0.4,117,78,1173,15,8,46,98,4.9,73.3,0.667,10,84,14.3,1203,8,1
Brandin Cooks,495.6,24,16,15,9,40,0,2,13,4.4,2.5,0.6,114,65,1082,16.6,7,42,64,4.1,67.6,0.57,9.5,74,15.2,1122,7,0
