Name,Points,Unnamed: 1_level_0Age,GamesG,GamesGS,RushingRush,RushingYds,RushingTD,Rushing1D,RushingLng,RushingY/A,RushingY/G,RushingA/G,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,Receiving1D,ReceivingLng,ReceivingR/G,ReceivingY/G,ReceivingCtch%,ReceivingY/Tgt,Total YdsTouch,Total YdsY/Tch,Total YdsYScm,Unnamed: 29_level_0RRTD,Unnamed: 30_level_0Fmb
Davante Adams,399.5,24,16,15,0,0,0,0,0,0,0,0,121,75,997,13.3,12,46,66,4.7,62.3,0.62,8.2,75,13.3,997,12,2
Davante Adams,604.8,25,14,14,0,0,0,0,0,0,0,0,117,74,885,12,10,46,55,5.3,63.2,0.632,7.6,74,12,885,10,0
Davante Adams,408.1,26,15,15,0,0,0,0,0,0,0,0,169,111,1386,12.5,13,64,57,7.4,92.4,0.657,8.2,111,12.5,1386,13,0
Davante Adams,633.2,27,12,12,0,0,0,0,0,0,0,0,127,83,997,12,5,54,58,6.9,83.1,0.654,7.9,83,12,997,5,2
Davante Adams,654.9,28,14,14,0,0,0,0,0,0,0,0,149,115,1374,11.9,18,73,56,8.2,98.1,0.772,9.2,115,11.9,1374,18,1
Davante Adams,636.5,29,16,16,0,0,0,0,0,0,0,0,169,123,1553,12.6,11,84,59,7.7,97.1,0.728,9.2,123,12.6,1553,11,0
A.J. Brown,454.5,22,16,11,3,60,1,2,49,20,3.8,0.2,84,52,1051,20.2,8,39,91,3.3,65.7,0.619,12.5,55,20.2,1111,9,1
A.J. Brown,356.7,23,14,12,0,0,0,0,0,0,0,0,106,70,1075,15.4,11,55,73,5,76.8,0.66,10.1,70,15.4,1075,11,2
A.J. Brown,598.8,24,13,13,2,10,0,1,7,5,0.8,0.2,105,63,869,13.8,5,45,57,4.8,66.8,0.6,8.3,65,13.5,879,5,0
Dalvin Cook,336,22,4,4,74,354,2,16,33,4.8,88.5,18.5,16,11,90,8.2,0,3,36,2.8,22.5,0.688,5.6,85,5.2,444,2,1
Dalvin Cook,619.2,23,11,10,133,615,2,22,70,4.6,55.9,12.1,49,40,305,7.6,2,15,27,3.6,27.7,0.816,6.2,173,5.3,920,4,2
Dalvin Cook,711.4,24,14,14,250,1135,13,60,75,4.5,81.1,17.9,63,53,519,9.8,0,26,31,3.8,37.1,0.841,8.2,303,5.5,1654,13,4
Dalvin Cook,478.9,25,14,14,312,1557,16,91,70,5,111.2,22.3,54,44,361,8.2,1,17,50,3.1,25.8,0.815,6.7,356,5.4,1918,17,5
Dalvin Cook,531.4,26,13,13,249,1159,6,57,66,4.7,89.2,19.2,49,34,224,6.6,0,9,24,2.6,17.2,0.694,4.6,283,4.9,1383,6,3
Stefon Diggs,375.9,22,13,9,3,13,0,1,10,4.3,1,0.2,84,52,720,13.8,4,30,40,4,55.4,0.619,8.6,55,13.3,733,4,2
Stefon Diggs,370.6,23,13,11,3,10,0,1,12,3.3,0.8,0.2,112,84,903,10.8,3,48,46,6.5,69.5,0.75,8.1,87,10.5,913,3,0
