Robert Tonyan,193.8484341
Foster Moreau,192.9994467
Van Jefferson,192.7317894
Cade Otton,192.6164713
Darren Waller,192.5628332
Harrison Bryant,191.2092712
DeAndre Carter,191.0911784
Skyy Moore,190.8031117
Braxton Berrios,190.7867447
Tre'Quan Smith,190.759968
Michael Gallup,190.5111953
Will Dissly,190.0932417
Austin Hooper,189.5251079
Joshua Kelley,189.1066709
Kenneth Gainwell,188.6747865
Jamycal Hasty,188.3809345
Isaiah Likely,188.1299328
Russell Gage,187.3763276
Mike Gesicki,187.3064779
Zack Moss,187.2110101
Jarvis Landry,186.7269376
Jamal Agnew*,186.5071271
Kevin White,186.0648791
Brock Wright,186.0246167
Ian Thomas,185.4722157
James Robinson,185.4253806
Colby Parkinson,185.2000672
Isaiah Hodgins,185.1643797
Kyle Pitts,184.6622242
Ashton Dulin,184.3025333
Jalen Virgil,184.0400276
Allen Robinson,183.5593845
Tyquan Thornton,183.2198469
Logan Thomas,182.8814344
Craig Reynolds,182.8790939
Shi Smith,182.8457524
Jelani Woods,182.5510761
T.Y. Hilton,181.6135958
Darrell Henderson,181.3384654
C.J. Uzomah,180.5775459
Mike Boone,179.9807089
Alexander Mattison,179.759084
Zonovan Knight,179.5762298
Hunter Renfrow,179.3835251
Ross Dwelley,179.0693575
Matt Breida,178.9680307
Scott Miller,178.7645659
Phillip Dorsett,178.2436551
Kylen Granson,178.2008391
Rex Burkhead,178.1029795
Jalen Reagor,177.9928634
Ameer Abdullah,177.1785235
Armani Rogers,176.2943065
Jalen Nailor,175.8100874
Anthony Schwartz,175.6848182
Jeff Smith,175.5611256
Justice Hill,175.4563299
Noah Gray,173.929232
KhaDarel Hodge,173.8595491
Teagan Quitoriano,173.7053464
Travis Homer,173.7006215
Steven Sims,173.6168787
Mark Ingram,173.2152271
N'Keal Harry,172.5305575
Gus Edwards,172.3216489
Dare Ogunbowale,172.2835622
Rashaad Penny,172.2558385
J.D. McKissic,172.1886209
Jalen Guyton,171.558166
Nyheim Hines,171.5207643
Tom Kennedy,171.3351751
Trey McBride,170.6027722
Mo Alie-Cox,170.36363
Daniel Bellinger,170.1547075
Cedrick Wilson Jr.,170.1276154
Ty Johnson,169.5252165
Brandon Powell,169.3024883
Josh Oliver,169.0059564
Justin Jackson,168.4350861
Pierre Strong,166.887767
Jonathan Williams,166.7425663
Javonte Williams,166.3149089
Trent Taylor,165.6553971
Gunner Olszewski,165.3449699
Darrynton Evans,165.1078637
Caleb Huntley,165.0582036
Raheem Blackshear,164.7376414
Jody Fortson,164.730438
Zach Pascal,164.6903916
Byron Pringle,164.1008684
Malik Davis,163.9812111
Racey McMath,163.7807156
Marquez Callaway,163.0931924
Deven Thompkins,162.2567203
John Brown,161.9457239
Elijah Mitchell,161.8331751
MyCole Pruitt,161.2948615
Jake Kumerow,160.479879
Zach Gentry,160.300914
Keelan Cole,160.1968638
Jake Ferguson,160.1706038
Tommy Tremble,159.5277288
Grant Calcaterra,159.2921755
Kyren Williams,158.8340532
Cameron Brate,158.424103
Marcedes Lewis,158.3456871
Khalil Shakir,158.2059209
Brandon Bolden,158.1007054
Pharaoh Brown,157.2810208
Tevin Coleman,157.1782854
Adam Trautman,156.6202258
Samori Toure,156.4909456
Peyton Hendershot,156.2712514
O.J. Howard,156.1007964
Eric Saubert,155.9485024
Corey Clement,155.8001537
Durham Smythe,155.5029149
David Bell,155.1354805
Tanner Hudson,155.0162159
Giovanni Ricci,154.7607249
Michael Thomas,154.7257065
Boston Scott,154.1714757
Trayveon Williams,154.004949
Gary Brightwell,153.3621669
Dan Arnold,153.3168482
Ronald Jones II,153.2521715
Avery Williams,153.0984299
Wan'Dale Robinson,152.9699493
Jordan Mason,152.1255417
Malcolm Brown,151.4513428
Julius Chestnut,151.2775056
Mike Thomas,150.7346628
Irv Smith Jr.,150.6279079
Jack Stoll,150.3891745
Stephen Sullivan,149.7115538
Josiah Deguara,149.4973254
Donald Parham,149.4476824
Keaontay Ingram,149.4090233
David Johnson,149.3364275
Kenny Golladay,148.6451636
Tyler Kroft,148.5915424
David Sills,148.4416452
Sony Michel,148.2928256
D'Wayne Eskridge,148.0027577
Michael Bandy,147.4482174
Mitchell Wilcox,147.2612217
Johnny Mundt,147.2258085
Hassan Haskins,147.0339238
Albert Okwuegbunam,147.0243994
River Cracraft,146.9344349
Chris Conley,146.7427228
Cody Hollister,146.5244895
Royce Freeman,146.2782571
Anthony Firkser,145.9507195
Breshad Perriman,145.5889567
Quintin Morris,145.3672728
Lawrence Cager,145.2966329
Brevin Jordan,145.2279952
Brycen Hopkins,145.0504616
Jordan Wilkins,144.7501675
John Bates,144.7401022
Danny Gray,144.7190493
Parker Hesse,144.6846012
James Mitchell,144.4252435
Benny Snell Jr.,144.3998587
Kendall Blanton,143.9204924
Darrel Williams,143.7223532
Cam Sims,143.6371961
Marcus Johnson,143.4795063
Eric Tomlinson,141.9911588
Chris Evans,141.1336023
Mike Strachan,140.6723968
Chris Manhertz,140.6413572
Patrick Taylor,140.3562987
